DATE,GEOCODE,VARIABLE,COUNT,RATE
10/26/24,101,COVID-19,17,16.99
10/26/24,102,COVID-19,16,6.94
10/26/24,103,COVID-19,26,10.35
10/26/24,104,COVID-19,34,11.39
10/26/24,105106107,COVID-19,99,54.47
10/26/24,201,COVID-19,14,8.68
10/26/24,202,COVID-19,45,16.57
10/26/24,203,COVID-19,43,11.51
10/26/24,204,COVID-19,20,9.92
10/26/24,205,COVID-19,9,7.24
10/26/24,206,COVID-19,64,18.31
10/26/24,207,COVID-19,37,12.54
10/26/24,208,COVID-19,35,16.05
10/26/24,209,COVID-19,30,13.22
10/26/24,210,COVID-19,40,14.14
10/26/24,211,COVID-19,41,18.21
10/26/24,301,COVID-19,26,8.98
10/26/24,302,COVID-19,14,6.78
10/26/24,303,COVID-19,12,9.95
10/26/24,304,COVID-19,32,11.79
10/26/24,305307,COVID-19,174,103.97
10/26/24,306308,COVID-19,80,76.14
10/26/24,309310,COVID-19,70,72.52
10/26/24,401,COVID-19,34,15.28
10/26/24,402,COVID-19,38,7.68
10/26/24,403,COVID-19,58,19.74
10/26/24,404406,COVID-19,76,74.91
10/26/24,405,COVID-19,36,13.38
10/26/24,407,COVID-19,30,10.88
10/26/24,408,COVID-19,38,11.01
10/26/24,409,COVID-19,50,23.11
10/26/24,410,COVID-19,14,11.28
10/26/24,501502,COVID-19,74,78.77
10/26/24,503504,COVID-19,186,139.26
10/26/24,101,Influenza,13,17.13
10/26/24,102,Influenza,11,6.37
10/26/24,103,Influenza,8,3.22
10/26/24,104,Influenza,20,7.46
10/26/24,105106107,Influenza,81,45.04
10/26/24,201,Influenza,,
10/26/24,202,Influenza,6,2.69
10/26/24,203,Influenza,16,4.77
10/26/24,204,Influenza,19,10.29
10/26/24,205,Influenza,,
10/26/24,206,Influenza,,
10/26/24,207,Influenza,10,3.94
10/26/24,208,Influenza,,
10/26/24,209,Influenza,7,3.62
10/26/24,210,Influenza,7,2.83
10/26/24,211,Influenza,6,2.86
10/26/24,301,Influenza,10,4.05
10/26/24,302,Influenza,16,8.76
10/26/24,303,Influenza,8,7.2
10/26/24,304,Influenza,12,6.69
10/26/24,305307,Influenza,34,25.12
10/26/24,306308,Influenza,34,32.1
10/26/24,309310,Influenza,22,21.58
10/26/24,401,Influenza,14,8.86
10/26/24,402,Influenza,21,4.96
10/26/24,403,Influenza,9,4.37
10/26/24,404406,Influenza,14,16.95
10/26/24,405,Influenza,7,3.39
10/26/24,407,Influenza,10,4.06
10/26/24,408,Influenza,8,2.4
10/26/24,409,Influenza,,
10/26/24,410,Influenza,,
10/26/24,501502,Influenza,42,46.01
10/26/24,503504,Influenza,50,46.39
10/26/24,101,RSV,9,11.07
10/26/24,102,RSV,23,14.55
10/26/24,103,RSV,33,13.37
10/26/24,104,RSV,43,16.5
10/26/24,105106107,RSV,189,103.14
10/26/24,201,RSV,12,8.01
10/26/24,202,RSV,17,6.6
10/26/24,203,RSV,33,11.43
10/26/24,204,RSV,29,16.13
10/26/24,205,RSV,10,9.41
10/26/24,206,RSV,85,21.76
10/26/24,207,RSV,27,11.41
10/26/24,208,RSV,11,7.98
10/26/24,209,RSV,14,8.94
10/26/24,210,RSV,53,25.31
10/26/24,211,RSV,28,13.72
10/26/24,301,RSV,25,14.21
10/26/24,302,RSV,5,3.55
10/26/24,303,RSV,5,4.49
10/26/24,304,RSV,6,3.95
10/26/24,305307,RSV,18,19.73
10/26/24,306308,RSV,20,38.11
10/26/24,309310,RSV,12,18.46
10/26/24,401,RSV,21,16.32
10/26/24,402,RSV,33,8.5
10/26/24,403,RSV,6,3.78
10/26/24,404406,RSV,38,54.78
10/26/24,405,RSV,38,18.52
10/26/24,407,RSV,23,10.45
10/26/24,408,RSV,19,7.49
10/26/24,409,RSV,6,4.12
10/26/24,410,RSV,5,3.93
10/26/24,501502,RSV,16,20.42
10/26/24,503504,RSV,28,28.52
